,Population,,,,,,Housing Units,,,,,
La Paz County,13844,0,0,0,0,0,10182,0,0,0,0,0
Maricopa County,2122101,1509175,971228,663510,331770,186193,952041,610737,320030,211865,108047,54358
Mohave County,93497,55865,25857,7736,8510,8591,50822,28818,10550,3143,3145,3043
Navajo County,77658,67629,47559,37994,29446,25309,38967,28408,13894,9803,7881,7747
Pima County,666880,531443,351667,265660,141216,72838,298207,218609,118623,85216,47294,21266
Pinal County,116379,90918,68579,62673,43191,28841,52732,34080,19837,21589,13196,7223
Santa Cruz County,29676,20459,13966,10808,9344,9482,9595,6402,4280,3386,2879,2631
Yavapai County,107714,68145,37005,28912,24991,26511,54805,33759,16221,12628,9265,9286
Yuma County,106895,88762,60827,46235,28006,19326,46541,37061,19453,14884,8862,5452
,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,
Arkansas County,21653,24175,23347,23355,23665,24437,9575,9875,8186,7762,7244,6688
Ashley County,24319,26538,24976,24220,25660,26785,9820,9770,8263,7197,7176,7130
Baxter County,31186,27409,15319,9943,11683,10281,15549,12928,6556,3782,3679,2649
Benton County,97499,78115,50476,36272,38076,36148,41444,32206,18755,13299,12641,11091
Boone County,28297,26067,19073,16116,16260,15860,12380,10688,7303,5967,5239,4432
Bradley County,11793,13803,12778,14029,15987,18097,5092,5591,4721,4533,4631,4632
Calhoun County,5826,6079,5573,5991,7132,9636,2437,2372,2032,1949,2123,2423
Carroll County,18654,16203,12301,11284,13244,14737,8740,7345,5198,4493,4518,4421
Chicot County,15713,17793,18164,18990,22306,27452,6191,6584,6177,6040,7489,7941
Clark County,21437,23326,21537,20950,22998,24402,8807,8822,7233,6555,6914,6296
Clay County,18107,20616,18771,21258,26674,28386,8362,8688,7085,7391,7963,7167
Cleburne County,19411,16909,10349,9059,11487,13134,10802,8584,4420,3299,3414,3330
Cleveland County,7781,7868,6605,6944,8956,12570,3322,3078,2363,2288,2512,3059
Columbia County,25691,26644,25952,26400,28770,29822,10690,10445,8988,8530,8585,7743
Conway County,19151,19505,16805,15430,18137,21536,8009,7457,5827,4969,5363,5195
Craighead County,68956,63239,52068,47303,50613,47200,28434,24139,17650,15444,14359,11844
Crawford County,42493,36892,25677,21318,22727,23920,16711,13763,8896,7006,6848,6202
Crittenden County,49939,49499,48106,47564,47184,42473,18875,16980,14274,13829,13897,12517
Cross County,19225,20434,19783,19551,24757,26046,7254,7188,6035,5804,7021,6556
Dallas County,9614,10515,10022,10522,12416,14471,4049,4237,3520,3264,3591,3689
Desha County,16798,19760,18761,20770,25155,27160,6706,7267,6318,6484,7433,7363
Drew County,17369,17910,15157,15213,17959,19831,7159,6648,5078,4617,4946,5182
