,Population,,,,,,Housing Units,,,,,
Wright County,14269,16319,17294,19447,19652,20038,6636,6945,6410,6633,6290,5576
,,,,,,,,,,,,
Kansas,,,,,,,,,,,,
Allen County,14638,15654,15043,16369,18187,19874,6454,6838,5884,6263,6298,6439
Anderson County,7803,8749,8501,9035,10267,11658,3514,3628,3205,3407,3533,3721
Atchison County,16932,18397,19165,20898,21496,22222,6691,6910,6309,6750,6620,6660
Barber County,5874,6548,7016,8713,8521,9073,3120,3033,3051,3374,3083,2799
Barton County,29382,31343,30663,32368,29909,25010,13144,12871,10636,10718,9194,7191
Bourbon County,14966,15969,15215,16090,19153,20944,6920,7194,6214,6555,6782,6657
Brown County,11128,11955,11685,13229,14651,17395,4890,5224,4674,5164,5372,5454
Butler County,50580,44782,38658,38395,31001,32013,20072,17248,13824,13240,10552,9776
Chase County,3021,3309,3408,3921,4831,6345,1547,1568,1522,1650,1780,1933
Chautauqua County,4407,5016,4642,5956,7376,9233,2249,2320,2270,2550,2776,2874
Cherokee County,21374,22304,21549,22279,25144,29817,9428,9315,8564,8577,8861,8904
Cheyenne County,3243,3678,4256,4708,5668,6221,1687,1782,1716,1806,1792,1724
Clark County,2418,2599,2896,3396,3946,4081,1327,1278,1301,1300,1333,1227
Clay County,9158,9802,9890,10675,11697,13281,4138,4247,4004,4145,4187,4171
Cloud County,11023,12494,13466,14407,16104,17247,5198,5497,5206,5291,5593,5265
Coffey County,8404,9370,7397,8403,10408,12278,3712,3861,3083,3449,3683,3998
Comanche County,2313,2554,2702,3271,3888,4412,1256,1171,1209,1371,1326,1374
Cowley County,36915,36824,35012,37861,36905,38139,15569,15133,13251,13510,12154,11931
Crawford County,35568,37916,37850,37032,40231,44191,16526,16822,14970,14499,14419,14106
Decatur County,4021,4509,4988,5778,6185,7434,2063,2154,2175,2142,2273,2368
Dickinson County,18958,20175,19993,21572,21190,22929,8415,8684,7805,7600,7304,7107
Doniphan County,8134,9268,9107,9574,10499,12936,3337,3805,3264,3439,3694,3956
Douglas County,81798,67640,57932,43720,34086,25171,31782,25494,18275,13383,9774,8428
Edwards County,3787,4271,4581,5118,5936,6377,1867,1990,1882,1929,2054,2023
Elk County,3327,3918,3858,5048,6679,8180,1743,1975,1869,2258,2487,2620
Ellis County,26004,26098,24730,21270,19043,17508,11115,10248,7760,6112,5117,4229
Ellsworth County,6586,6640,6146,7677,8465,9855,3317,3270,2723,2965,2904,2822
Finney County,33070,23825,19029,16093,15092,10092,11696,8994,6034,5072,4630,2911
Ford County,27463,24315,22587,20938,19670,17254,10842,9832,7752,6909,6338,4966
Franklin County,21994,22062,20007,19548,19928,20889,8926,8763,7205,7110,6769,6582
Geary County,30453,29852,28111,28779,21671,15222,11952,11088,8751,8337,6369,3692
Gove County,3231,3726,3940,4107,4447,4793,1494,1596,1312,1363,1271,1256
Graham County,3543,3995,4751,5586,5020,6071,1753,1809,1655,1830,1602,1900
Grant County,7159,6977,5961,5269,4638,1946,2599,2602,1924,1543,1401,574
Gray County,5396,5138,4516,4380,4894,4773,2114,2010,1626,1499,1483,1378
Greeley County,1774,1845,1819,2087,2010,1638,801,815,674,674,600,482
Greenwood County,7847,8764,9141,11253,13574,16495,4243,4451,4088,4670,4786,5099
Hamilton County,2388,2514,2747,3144,3696,2645,1214,1273,1092,1161,1184,904
Harper County,7124,7778,7871,9541,10263,12068,3481,3563,3488,3757,3665,3659
Harvey County,31028,30531,27236,25865,21698,21712,12290,11563,9215,8548,6930,6261
Haskell County,3886,3814,3672,2990,2606,2088,1586,1495,1247,959,802,618
Hodgeman County,2177,2269,2662,3115,3310,3535,1022,1054,1007,1012,1011,1013
Jackson County,11525,11644,10342,10309,11098,13382,4564,4492,3874,3888,3937,4259
Jefferson County,15905,15207,11945,11252,11084,12718,6314,5817,4081,3862,3839,4027
Jewell County,4251,5241,6099,7217,9698,11970,2409,2791,2633,3094,3436,4264
Johnson County,355054,270269,220073,143792,62783,33327,144155,102827,67997,43429,20267,10237
Kearny County,4027,3435,3047,3108,3492,2525,1561,1409,1045,998,1042,795
Kingman County,8292,8960,8886,9958,10324,12001,3645,3681,3328,3444,3387,3411
Kiowa County,3660,4046,4088,4626,4743,5112,1738,1712,1665,1642,1605,1551
Labette County,23693,25682,25775,26805,29285,30352,10641,10619,9813,10070,9894,9255
Lane County,2375,2472,2707,3060,2808,2821,1117,1159,1034,1063,867,873
Leavenworth County,64371,54809,53340,48524,42361,41112,21264,18441,14996,13069,11542,9648
Lincoln County,3653,4145,4582,5556,6643,8338,1864,2110,2039,2184,2365,2526
Linn County,8254,8234,7770,8274,10053,11969,4811,3977,3339,3383,3672,3970
Logan County,3081,3478,3814,4036,4206,3688,1466,1616,1383,1370,1326,1107
Lyon County,34732,35108,32071,26928,26576,26424,14346,13980,11014,9134,8853,8156
McPherson County,27268,26855,24778,24285,23670,24152,10941,10464,8582,8076,7690,7002
Marion County,12888,13522,13935,15143,16307,18951,5659,5864,5285,5264,5373,5468
Marshall County,11705,12787,13139,15598,17926,20986,5269,5584,5405,5961,6324,6362
Meade County,4247,4788,4912,5505,5710,5522,2049,2048,1914,1924,1823,1637
Miami County,23466,21618,19254,19884,19698,19489,8971,8457,6635,6627,6087,5813
Mitchell County,7203,8117,8010,8866,10320,11339,3359,3510,3131,3391,3643,3529
Montgomery County,38816,42281,39949,45007,46487,49729,17920,18153,16233,17056,16403,15468
Morris County,6198,6419,6432,7392,8485,10363,3149,3187,2908,3032,3128,3250
Morton County,3480,3454,3576,3354,2610,2186,1515,1454,1273,1138,842,861
Nemaha County,10446,11211,11825,12897,14341,16761,4319,4432,4214,4375,4659,4820
Neosho County,17035,18967,18812,19455,20348,22210,7726,7887,7134,7102,6929,6867
Ness County,4033,4498,4791,5470,6322,6864,2048,2107,1950,2007,2000,2002
Norton County,5947,6689,7279,8035,8808,9831,2798,2983,2815,2893,2918,3202
Osage County,15248,15319,13352,12886,12811,15118,6324,6152,4918,4788,4462,5007
Osborne County,4867,5959,6416,7506,8558,9835,2496,2774,2729,2940,3119,3167
Ottawa County,5634,5971,6183,6779,7265,9224,2591,2667,2505,2740,2666,2940
Pawnee County,7555,8065,8484,10254,11041,10300,3412,3442,3181,3359,2883,2677
Phillips County,6590,7406,7888,8709,9273,10435,3264,3503,3091,3324,3386,3390
Pottawatomie County,16128,14782,11755,11957,12344,14015,6472,6033,4313,4234,4095,4145
Pratt County,9702,10275,10056,12122,12156,12348,4620,4450,4099,4485,4217,3678
Rawlins County,3404,4105,4393,5279,5728,6618,1744,1826,1724,1822,1843,1866
Reno County,62389,64983,60765,59055,54058,52165,26607,26574,21792,20551,17957,15770
Republic County,6482,7569,8498,9768,11478,13124,3283,3801,3634,4007,4272,4427
Rice County,10610,11900,12320,13909,15635,17213,4868,4974,4745,5003,5215,5200
Riley County,67139,63505,56788,41914,33405,20617,22868,20873,14865,11631,8390,6465
Rooks County,6039,7006,7628,9734,9043,8497,2979,3136,2847,3413,2943,2546
Rush County,3842,4516,5117,6160,7231,8285,1999,2100,2080,2336,2305,2347
Russell County,7835,8868,9428,11348,13406,13464,4079,4129,3735,4143,4431,3937
Saline County,49301,48905,46592,54715,33409,29535,21129,20316,16588,17295,11242,8854
Scott County,5289,5782,5606,5228,4921,3773,2305,2344,1955,1686,1478,1131
Sedgwick County,403662,367088,350694,343231,222290,143311,170159,145863,120666,114038,73829,44503
Seward County,18743,17071,15744,15930,9972,6540,7572,6707,5290,4991,3219,1995
Shawnee County,160976,154916,155322,141286,105418,91247,68991,64446,51940,46015,33917,28009
Sheridan County,3043,3544,3859,4267,4607,5312,1324,1444,1307,1324,1406,1433
Sherman County,6926,7759,7792,6682,7373,6421,3177,3292,2763,2351,2395,1887
Smith County,5078,5947,6757,7776,8846,10582,2615,2815,2750,3182,3449,3811
Stafford County,5365,5694,5943,7451,8816,10487,2666,2709,2602,2927,3157,3142
Stanton County,2333,2339,2287,2108,2263,1443,956,960,777,706,580,486
Stevens County,5048,4736,4198,4400,4516,3193,2116,1978,1543,1480,1365,947
Sumner County,25841,24928,23553,25316,23646,26163,10769,10356,8977,9318,8195,8001
Thomas County,8258,8451,7501,7358,7572,6425,3534,3496,2757,2542,2437,1958
Trego County,3694,4165,4436,5473,5868,5822,1851,1991,1731,1844,1773,1664
Wabaunsee County,6603,6867,6397,6648,7212,9219,2853,2891,2560,2720,2749,2815
Wallace County,1821,2045,2215,2069,2508,2216,840,892,805,707,778,677
Washington County,7073,8543,9249,10739,12977,15921,3355,3579,3705,4115,4501,4950
Wichita County,2758,3041,3274,2765,2640,2185,1190,1293,1029,925,801,618
Wilson County,10289,12128,11317,13077,14815,17723,5091,5372,4780,5173,5267,5484
Woodson County,4116,4600,4789,5423,6711,8014,2199,2294,2032,2270,2394,2443
Wyandotte County,161993,172335,186845,185495,165318,145071,69102,68506,63484,58583,50395,41939
,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,
Adair County,15360,15233,13037,14699,17603,18566,6434,6163,4793,4636,4783,4395
Allen County,14628,14128,12598,12269,13787,15496,6381,6011,4662,4175,4301,4108
Anderson County,14571,12567,9358,8618,8984,8936,5804,4803,3284,2802,2742,2426
Ballard County,7902,8798,8276,8291,8545,9480,3553,3543,3153,3128,2767,2772
Barren County,34001,34009,28677,28303,28461,27559,14202,13503,10164,9282,8292,7268
Bath County,9692,10025,9235,9114,10410,11451,4021,3695,3213,2874,2926,2829
Bell County,31506,34330,31121,35336,47602,43812,12568,12049,9978,9900,11293,9534
Boone County,57589,45842,32812,21940,13015,10820,21476,16070,9853,6291,3986,3179
Bourbon County,19236,19405,18476,18178,17752,17932,7781,7213,6350,5824,5415,5105
Boyd County,51150,55513,52376,52163,49949,45938,21365,21445,17779,16185,13885,11280
Boyle County,25641,25066,21861,21257,20532,17075,10191,9516,7267,6302,5501,4610
Bracken County,7766,7738,7227,7422,8424,9389,3166,2980,2607,2518,2745,2642
Breathitt County,15703,17004,14221,15490,19964,23946,6127,5543,4285,4025,4360,4870
Breckinridge County,16312,16861,14789,14734,15528,17744,8261,7146,5686,4741,4632,4829
Bullitt County,47567,43346,26090,15726,11349,9511,16629,13664,7732,4713,3512,2517
Butler County,11245,11064,9723,9586,11309,14371,4698,4275,3467,3119,3208,3576
Caldwell County,13232,13473,13179,13073,13199,14499,5794,5353,4936,4571,4091,4199
Calloway County,30735,30031,27692,20972,20147,19041,13242,12010,9863,7205,6453,5403
Campbell County,83866,83317,88704,86803,76196,71918,32910,30268,28150,26714,22980,21183
Carlisle County,5238,5487,5354,5608,6206,7650,2295,2212,2027,2032,1985,2136
Carroll County,9292,9270,8523,7978,8517,8657,3870,3822,2967,2734,2745,2481
Carter County,24340,25060,19850,20817,22559,25545,9290,8771,6407,5860,5561,5552
Casey County,14211,14818,12930,14327,17446,19962,6046,5814,4550,4194,4460,4519
Christian County,68941,66878,56224,56904,42359,36129,23429,21195,16227,15308,11300,9842
Clark County,29496,28322,24090,21075,18898,17988,11635,10414,8193,6775,5652,5172
Clay County,21746,22752,18481,20748,23116,23901,7930,7403,5464,4993,5071,4687
Clinton County,9135,9321,8174,8886,10605,10279,4189,4031,2854,2643,2744,2384
Crittenden County,9196,9207,8493,8648,10818,12115,4039,3830,3373,3186,3549,3438
Cumberland County,6784,7289,6850,7835,9309,11923,3051,3147,2604,2531,2634,2779
Daviess County,87189,85949,79486,70588,57241,52335,35041,31665,25374,21387,16155,14192
Edmonson County,10357,9962,8751,8085,9376,11344,5009,4221,3105,2573,2543,2630
Elliott County,6455,6908,5933,6330,7085,8713,2639,2499,1881,1783,1672,1762
Estill County,14614,14495,12752,12466,14677,17978,5863,5251,4241,3905,3825,3996
Fayette County,225366,204165,174323,131906,100746,78899,97742,81747,59528,40263,27905,21963
Fleming County,12292,12323,11366,10890,11962,13327,5163,4628,4099,3607,3630,3728
Floyd County,43586,48764,35889,41642,53500,52986,17169,17354,11412,10880,12065,10792
Franklin County,43781,41830,34481,29421,25933,23308,18543,16971,11732,9351,7668,6280
Fulton County,8271,8971,10183,11256,13668,15413,3684,3631,3788,3908,4227,4205
Gallatin County,5393,4842,4134,3867,3969,4307,2290,1779,1465,1310,1246,1239
Garrard County,11579,10853,9457,9747,11029,11910,4929,4333,3568,3388,3430,3040
Grant County,15737,13308,9999,9489,9809,9876,6543,5355,3984,3371,3096,2859
Graves County,33550,34049,30939,30021,31364,31763,14528,13631,11655,10663,9971,9063
Grayson County,21050,20854,16445,15834,17063,17562,10446,9549,6314,5247,4996,4585
Green County,10371,11043,10350,11249,11261,12321,4523,4281,3940,3614,3375,3094
Greenup County,36742,39132,33192,29238,24887,24917,14657,13847,10426,8470,6563,5763
Hancock County,7864,7742,7080,5330,6009,6807,3080,2810,2371,1863,1855,1879
Hardin County,89240,88911,78421,67789,50312,29108,32375,27172,18388,14883,10842,6394
Harlan County,36574,41889,37370,51107,71751,75275,14735,14815,12464,14864,16782,16141
Harrison County,16248,15166,14158,13704,13736,15124,6488,5985,5068,4604,4459,4362
Hart County,14890,15402,13980,14119,15321,17239,6501,6431,5025,4672,4688,4603
Henderson County,43044,40849,36031,33519,30715,27020,17932,15523,12267,11219,9301,7679
Henry County,12823,12740,10910,10987,11394,12220,5447,5103,3927,3738,3562,3485
Hickman County,5566,6065,6264,6747,7778,9142,2374,2406,2394,2326,2417,2551
Hopkins County,46126,46174,38167,38458,38815,37789,19325,17675,13490,12643,11900,10749
Jackson County,11955,11996,10005,10677,13101,16339,4895,4368,3359,3219,3244,3542
Jefferson County,664937,684638,695055,610947,484615,385392,282578,265734,226493,188311,142830,111234
Jessamine County,30508,26065,17430,13625,12458,12174,11209,9028,5596,3971,3556,3351
Johnson County,23248,24432,17539,19748,23846,25771,9381,8817,6023,5876,5992,5705
Kenton County,142031,137058,129440,120700,104254,93139,56086,51241,42455,37743,32144,27528
Knott County,17906,17940,14698,17362,20320,20007,6718,5868,4368,4284,4275,3815
Knox County,29676,30239,23689,25258,30409,31029,11731,10821,7709,7046,7441,6777
Larue County,11679,11922,10672,10346,9956,9622,4824,4648,3641,3271,2970,2565
Laurel County,43438,38982,27386,24901,25797,25640,16923,14151,8757,7023,6617,5689
Lawrence County,13998,14121,10726,12134,14418,17275,5684,5223,3957,3778,3920,4015
Lee County,7422,7754,6587,7420,8739,10860,3025,2798,2314,2153,2360,2421
Leslie County,13642,14882,11623,10941,15537,14981,5038,4856,3277,2379,3153,2850
Letcher County,27000,30687,23165,30102,39522,40592,10808,10662,7599,8260,9236,8536
Lewis County,13029,14545,12355,13115,13520,15686,5328,5061,4120,3934,3734,3935
Lincoln County,20045,19053,16663,16503,18668,19859,7985,7194,5762,5090,5049,4790
Livingston County,9062,9219,7596,7029,7184,9127,4177,3841,2982,2531,2375,2549
Logan County,24416,24138,21793,20896,22335,23345,10303,9468,7627,6789,6462,6257
Lyon County,6624,6490,5562,5924,6853,9067,3460,2538,1887,1802,1975,2083
McCracken County,62879,61310,58281,57306,49137,48534,27581,24797,21131,19739,15491,13826
McCreary County,15603,15634,12548,12463,16660,16451,6039,5176,3903,3191,3771,3384
McLean County,9628,10090,9062,9355,10021,11446,4042,3853,3380,3167,3154,3117
Madison County,57508,53352,42730,33482,31179,28541,21456,17975,12597,10175,8729,7434
Magoffin County,13077,13515,10443,11156,13839,17490,4800,4486,3089,3008,3222,3466
Marion County,16499,17910,16714,16887,17212,16913,6115,5922,4767,4308,4278,3866
Marshall County,27205,25637,20381,16736,13387,16602,12528,10643,7915,6046,4577,4611
Martin County,12526,13925,9377,10201,11677,10970,4697,4449,2614,2462,2443,2128
Mason County,16666,17760,17273,18454,18486,19066,7089,6757,6007,5916,5667,5282
Meade County,24170,22854,18796,18938,9422,8827,8907,7640,5787,5282,2520,2265
Menifee County,5092,5117,4050,4276,4798,5691,2421,1868,1338,1256,1247,1275
Mercer County,19148,19011,15960,14596,14643,14629,8212,7558,6099,5145,4633,4006
Metcalfe County,8963,9484,8177,8367,9851,10853,3793,3566,2936,2801,2845,2807
Monroe County,11401,12353,11642,11799,13770,14070,4882,5143,4283,3718,3763,3393
Montgomery County,19561,20046,15364,13461,13025,12280,7759,7238,5128,4230,3804,3325
Morgan County,11648,12103,10019,11056,13624,16827,4562,4330,3313,3258,3457,3710
Muhlenberg County,31318,32238,27537,27791,32501,37554,12754,11584,9578,8773,9167,9479
Nelson County,29710,27584,23477,22168,19521,18004,11078,9227,6742,5673,5010,4278
Nicholas County,6725,7157,6508,6677,7532,8617,2930,2771,2426,2289,2368,2510
Ohio County,21105,21765,18790,17725,20840,24421,8680,8073,6722,6144,6475,6697
Oldham County,33263,27795,14687,13388,11018,10716,11202,8694,4248,3555,2817,2225
Owen County,9035,8924,7470,8237,9755,10942,4723,3972,3103,3054,3031,3130
Owsley County,5036,5709,5023,5369,7324,8957,2137,2039,1766,1684,1812,1987
Pendleton County,12036,10989,9949,9968,9610,10392,4782,4192,3417,3255,3178,3016
Perry County,30283,33763,26259,34961,46566,47828,11565,11268,8049,8794,10403,9629
Pike County,72583,81123,61059,68264,81154,71122,28760,28183,18725,18203,18745,15250
Powell County,11686,11101,7704,6674,6812,7671,4458,3822,2401,1904,1759,1750
Pulaski County,49489,45803,35234,34403,38452,39863,22328,19532,13004,11074,10531,9420
Robertson County,2124,2270,2163,2443,2881,3419,955,905,830,863,897,977
Rockcastle County,14803,13973,12305,12334,13925,17165,5958,5036,4007,3597,3603,3869
Rowan County,20353,19049,17010,12808,12708,12734,7375,6648,4495,3532,3157,2903
Russell County,14716,13708,10542,11076,13717,13615,7375,6345,4297,3878,3677,3097
Scott County,23867,21813,17948,15376,15141,14314,9173,7782,5856,4788,4483,4061
Shelby County,24824,23328,18999,18493,17912,17759,9617,8622,6450,5846,5309,5029
Simpson County,15145,14673,13054,11548,11678,11752,6172,5717,4551,3764,3497,3238
Spencer County,6801,5929,5488,5680,6157,6757,2640,2180,1790,1709,1699,1707
Taylor County,21146,21178,17138,16285,14403,13556,8798,8211,5836,4955,4116,3480
Todd County,10940,11874,10823,11364,12890,14234,4415,4577,3798,3781,3825,3929
Trigg County,10361,9384,8620,8870,9683,12784,5284,4379,3087,2857,2926,3332
Trimble County,6090,6253,5349,5102,5148,5601,2510,2428,1831,1621,1513,1552
Union County,16557,17821,15882,14537,14893,17411,6091,5671,4909,4663,4594,4602
Warren County,76673,71828,57884,45491,42758,36631,31065,26695,18664,14323,12611,10284
Washington County,10441,10764,10728,11168,12777,12965,4009,3759,3333,3221,3297,3097
Wayne County,17468,17022,14268,14700,16475,17204,7791,7168,4918,4156,4139,3938
Webster County,13955,14832,13282,14244,15555,19198,5914,5790,5238,5318,5257,5682
Whitley County,33326,33396,24145,25815,31940,33186,13399,12384,8252,7871,8335,7575
Wolfe County,6503,6698,5669,6534,7615,9997,2779,2570,1774,1685,1938,2084
Woodford County,19955,17778,14434,11913,11212,11847,7689,6408,4722,3787,3292,3113
,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,
Acadia Parish,55882,56427,52109,49931,47050,46260,21441,19265,16004,14633,13056,11203
Allen Parish,21226,21408,20794,19867,18835,17540,8275,7848,6483,5967,5300,4526
Ascension Parish,58214,50068,37086,27927,22387,21215,21165,16622,11229,7802,6327,5429
Assumption Parish,22753,22084,19654,17991,17278,18541,8644,7554,5345,5090,4748,4476
Avoyelles Parish,39159,41393,37751,37606,38031,39256,15428,14724,12043,11445,11028,9824
Beauregard Parish,30083,29692,22888,19191,17766,14847,12666,11429,7903,6676,5341,3840
Bienville Parish,15979,16387,16024,16726,19105,23933,7085,6955,5635,5279,5362,6020
Bossier Parish,86088,80721,65877,57622,40139,33162,34994,28884,19993,17404,10985,8456
Caddo Parish,248253,252437,230184,223859,176547,150203,107615,97605,78719,72119,52477,42566
Calcasieu Parish,168134,167223,145415,145475,89635,56506,66426,60845,45534,43469,26750,15151
Caldwell Parish,9810,10761,9354,9004,10293,12046,4533,4624,3283,2812,3001,3051
Cameron Parish,9260,9336,8194,6909,6244,7203,5031,4487,3303,2613,2096,1842
Catahoula Parish,11065,12287,11769,11421,11834,14618,5138,4880,3791,3372,3529,3980
Claiborne Parish,17405,17095,17024,19407,25063,29855,7513,7043,5906,6417,7236,7626
Concordia Parish,20828,22981,22578,20467,14398,14562,9043,8919,7162,6256,4617,4513
De Soto Parish,25346,25727,22764,24248,24398,31803,10919,9969,7882,7437,7114,8462
East Baton Rouge Parish,380105,366191,285167,230058,158236,88415,156767,133635,88959,66059,45937,23940
East Carroll Parish,9709,11772,12884,14433,16302,19023,3563,4108,3867,4122,5015,5327
East Feliciana Parish,19211,19015,17657,20198,19133,18039,6476,5860,4106,3924,3715,3384
Evangeline Parish,33274,33343,31932,31639,31629,30497,13311,12315,10369,9583,9349,7910
Franklin Parish,22387,24141,23946,26088,29376,32382,8719,8884,7525,7302,8085,8544
Grant Parish,17526,16703,13671,13330,14263,15933,7494,6781,5139,4521,4410,4266
Iberia Parish,68297,63752,57397,51657,40059,37183,25472,21282,16595,14490,11466,9312
Iberville Parish,31049,32159,30746,29939,26750,27721,11352,10980,9149,8469,7921,7674
Jackson Parish,15705,17321,15963,15828,15434,17807,7041,6886,5555,4966,4355,4490
Jefferson Parish,448306,454592,338229,208769,103873,50427,185072,166124,101522,60163,30246,13286
Jefferson Davis Parish,30722,32168,29554,29825,26298,24191,11963,11041,9298,8910,7746,6336
Lafayette Parish,164762,150017,111643,84656,57743,43941,67431,53136,32536,23642,15689,10709
Lafourche Parish,85860,82483,68941,55381,42209,38615,31332,27033,19205,15177,11340,8972
La Salle Parish,13662,17004,13295,13011,12717,10959,5969,6611,4781,4293,3817,2929
Lincoln Parish,41745,39763,33800,28535,25782,24790,15286,13354,9763,7605,6909,6270
Livingston Parish,70526,58806,36511,26974,20054,17790,26848,21190,11979,8585,5858,4596
Madison Parish,12463,15682,15065,16444,17451,18443,4823,5893,4850,5055,5205,5125
Morehouse Parish,31938,34803,32463,33709,32038,27571,12314,12826,10442,9848,9003,7685
Natchitoches Parish,36689,39863,35219,35653,38144,40997,15210,14895,11251,10614,10788,10492
Orleans Parish,496938,557927,593471,627525,570445,494537,225573,226680,208524,202643,173608,137165
Ouachita Parish,142191,139241,115387,101663,74713,59168,56300,51477,36872,31070,22361,16317
Plaquemines Parish,25575,26049,25225,22545,14239,12318,9432,9550,6836,6217,3980,3013
Pointe Coupee Parish,22540,24045,22002,22488,21841,24004,9695,8750,6991,6456,6269,5965
Rapides Parish,131556,135282,118078,111351,90648,73370,51239,48264,37216,32624,26084,18425
Red River Parish,9387,10433,9226,9978,12113,15881,3839,4045,3172,3177,3562,4201
Richland Parish,20629,22187,21774,23824,26672,28829,8031,7892,7244,6703,7436,7478
Sabine Parish,22646,25280,18638,18564,20880,23586,12789,12105,6631,5727,6023,5800
St. Bernard Parish,66631,64097,51185,32186,11087,7280,25147,21592,14228,8836,3232,1833
St. Charles Parish,42437,37259,29550,21219,13363,12321,16016,12409,8248,5746,3692,3027
St. Helena Parish,9874,9827,9937,9162,9013,9542,3840,3582,2816,2315,2368,2394
St. James Parish,20879,21495,19733,18369,15334,16596,6934,6452,4815,4358,4061,3992
St. John the Baptist Parish,39996,31924,23813,18439,14861,14766,14255,10522,6470,4714,3891,3522
St. Landry Parish,80331,84128,80364,81493,78476,71481,31137,29481,24208,22078,19582,15882
St. Martin Parish,43978,40214,32453,29063,26353,26394,17592,13702,9729,8187,6823,5842
St. Mary Parish,58086,64253,60752,48833,35848,31458,21884,21539,17279,13538,10360,8015
St. Tammany Parish,144508,110869,63585,38643,26988,23624,57993,41309,21495,13685,9213,6829
Tangipahoa Parish,85709,80698,65875,59434,53218,45519,33640,29263,20724,17734,15096,11908
Tensas Parish,7103,8525,9732,11796,13209,15940,3334,3892,3299,3616,4434,4974
Terrebonne Parish,96982,94393,76049,60771,43328,35880,35416,30831,20854,15862,11239,8573
Union Parish,20690,21167,18447,17624,19141,20943,9304,8625,6511,5421,5519,5172
Vermilion Parish,50055,48458,43071,38855,36929,37750,20361,17869,13747,12037,11032,9254
Vernon Parish,61961,53475,53794,18301,18974,19142,21622,18141,10465,7541,5890,4891
Washington Parish,43185,44207,41987,44015,38371,34443,17617,16758,14167,13079,10832,9004
Webster Parish,41989,43631,39939,39701,35704,33676,18365,17820,14140,13111,10341,8931
West Baton Rouge Parish,19419,19086,16864,14796,11738,11263,7298,6434,4812,4096,3403,3148
West Carroll Parish,12093,12922,13028,14177,17248,19252,4831,5073,4245,4205,4612,4751
West Feliciana Parish,12915,12186,10761,12395,10169,11720,3392,2898,2177,2294,2011,2365
Winn Parish,16269,17253,16369,16034,16119,16923,7006,7081,5929,5263,4897,4350
,,,,,,,,,,,,
Maine,,,,,,,,,,,,
Androscoggin County,105259,99509,91279,86312,83594,76679,43815,38382,31994,29584,25584,21012
Aroostook County,86936,91344,94078,106064,96039,94436,38421,35922,30837,30537,25233,20716
Cumberland County,243135,215789,192528,182751,169201,146000,109890,91791,74065,68217,58911,47174
Franklin County,29008,27447,22444,20069,20682,19896,17280,14133,10496,9125,7618,6640
Hancock County,46948,41781,34590,32293,32105,32422,30396,25062,19955,17850,14951,13278
Kennebec County,115904,109889,95306,89150,83881,77231,51648,45478,34794,31170,26839,22034
Knox County,36310,32941,29013,28575,28121,27191,19009,16331,13270,12432,11384,10664
Lincoln County,30357,25691,20537,18497,18004,16294,17538,14977,11702,10430,9185,7912
Oxford County,52602,49043,43457,44345,44221,42662,29689,23796,19150,16480,15294,13176
Penobscot County,146601,137015,125393,126346,108198,97104,61359,53415,42791,39675,31246,26571
Piscataquis County,18653,17634,16285,17379,18617,18467,13194,10731,9324,7991,6525,6008
Sagadahoc County,33535,28795,23452,22793,20911,19123,14633,12021,9449,8948,8004,6505
Somerset County,49767,45049,40597,39749,39785,38245,24927,20910,16558,14452,13674,11779
Waldo County,33018,28414,23328,22632,21687,21159,16181,13464,10246,9194,8559,7849
Washington County,35308,34963,29859,32908,35187,37767,19124,18149,14021,13782,13365,11215
York County,164587,139739,111576,99402,93541,82550,79941,66771,48530,44750,35069,28126
,,,,,,,,,,,,
Maryland,,,,,,,,,,,,
Allegany County,74946,80548,84044,84169,89556,86973,32513,31893,29660,27165,26172,22333
Anne Arundel County,427239,370775,298042,206634,117392,68375,157194,129031,89036,61278,36345,22151
Baltimore County,692134,655615,620409,492428,270273,155825,281553,243994,190682,142949,78038,41653
Calvert County,51372,34638,20682,15826,12100,10484,18974,12782,7932,5978,5072,4252
Caroline County,27035,23143,19781,19462,18234,17549,10745,8818,7033,6708,6281,5172
Carroll County,123372,96356,69006,52785,44907,39054,43553,32115,20175,15002,11902,9857
Cecil County,71347,60430,53291,48408,33356,26407,27656,22977,16421,14730,10417,7695
Charles County,101154,72751,47678,32572,23415,17612,34487,22721,13577,9286,6355,4306
Dorchester County,30236,30623,29405,29666,27815,28006,14269,12753,11008,10519,9224,7803
Frederick County,150208,114792,84927,71930,62287,57312,54872,39671,26292,21443,17220,14674
Garrett County,28138,26490,21476,20420,21259,21981,14119,12229,8683,7197,6438,5416
Harford County,182132,145930,115378,76722,51782,35060,66446,49435,33487,22489,14044,8799
Howard County,187328,118572,62394,36152,23119,17175,72583,42499,18096,10156,6205,4068
Kent County,17842,16695,16146,15481,13677,13465,8181,7347,6300,5776,4851,4363
Montgomery County,757027,579053,522809,340928,164401,83912,295723,216221,161378,97141,47199,23255
Prince George’s County,729268,665071,661719,357395,194182,89490,270090,236465,200637,99617,54394,22348
Queen Anne’s County,33953,25508,18422,16569,14579,14476,13944,10030,6841,5901,4705,4282
St. Mary’s County,75974,59895,47388,38915,29111,14626,27863,21278,14214,11218,7724,3593
Somerset County,23440,19188,18924,19623,20745,20965,9393,7809,6996,6964,6721,6108
