County,State, In-Migration , Out-Migration , Net Migration , +/- , Rank 
Bell,Texas,19618.3413278305,0,19618.3413278305,11508.017275071,80
Richland,South Carolina,19045.9162549432,0,19045.9162549432,9780.0276201851,81
Arlington,Virginia,19202.0205069149,186.5599999995,19015.4605069154,13020.7243417764,82
Pitt,North Carolina,26641.7784738199,7796.6600000285,18845.1184737914,12053.9143444394,83
Franklin,Ohio,18784.9805451646,0,18784.9805451646,6207.7494094982,84
Howard,Maryland,18089.9618884422,0,18089.9618884422,7410.1339401682,85
Cumberland,North Carolina,17667.9882491327,0,17667.9882491327,11172.8041512005,86
Baltimore City,Maryland,20347.6992438954,2723.4700000083,17624.2292438871,13798.6858169633,87
Henry,Georgia,17545.8751771744,0,17545.8751771744,15642.4252147787,88
Sacramento,California,17056.9522416488,0,17056.9522416488,30154.7102766058,89
Hidalgo,Texas,16981.2845308409,0,16981.2845308409,9021.8787956786,90
Somerset,New Jersey,17366.8483537946,439.7400000003,16927.1083537943,4235.9046418335,91
Union,North Carolina,16743.1960405518,0,16743.1960405518,10328.5805056247,92
Lehigh,Pennsylvania,16616.9744868481,0,16616.9744868481,8834.2655811485,93
Onslow,North Carolina,33854.8099973217,17479.4900000298,16375.3199972919,18257.3654487275,94
Durham,North Carolina,16239.8478985336,0,16239.8478985336,8715.2751506807,95
Oakland,Michigan,16113.3996237264,0,16113.3996237264,7100.7366412795,96
Douglas,Colorado,15954.1434762005,0,15954.1434762005,5671.3414018261,97
San Bernardino,California,15830.0414562302,0,15830.0414562302,20000.9844082405,98
Mercer,New Jersey,18890.4101180636,3099.3099999754,15791.1001180882,7352.0657093053,99
Hendry,Florida,15776.009425306,0,15776.009425306,4020.8022110722,100
Effingham,Georgia,15849.49011265,202.4300000004,15647.0601126496,5795.1352257673,101
Allegheny,Pennsylvania,15416.8235629392,0,15416.8235629392,8923.9261815839,102
Wayne,Michigan,15360.1576980168,0,15360.1576980168,11242.7592769296,103
Shelby,Tennessee,15029.146146106,0,15029.146146106,13131.1495683181,104
Santa Clara,California,78579.7375124036,63844.6599999011,14735.0775125025,15960.6352726651,105
James City,Virginia,18886.0917955884,4472.3700000009,14413.7217955875,13995.5771878527,106
Montgomery,Tennessee,14398.3793725962,0,14398.3793725962,8125.923765511,107
Jefferson,Kentucky,13684.3912624336,0,13684.3912624336,4415.6322016125,108
Union,New Jersey,26463.1225675753,12906.3099999969,13556.8125675784,10490.4433318603,109
Placer,California,13392.7134657001,0,13392.7134657001,8586.6207084376,110
Erie,New York,13305.287989427,0,13305.287989427,7675.6508641397,111
Cumberland,New Jersey,24333.8047949245,11137.9799999941,13195.8247949304,11026.4872110019,112
El Paso,Texas,13162.321289874,0,13162.321289874,8471.2871990657,113
Flagler,Florida,34208.9396927748,21368.9600001131,12839.9796926617,9129.7896587207,114
Guilford,North Carolina,12780.0581131472,0,12780.0581131472,13223.8348041312,115
Bristol,Massachusetts,33276.3343099545,20664.9800000286,12611.3543099259,10029.12885208,116
Salt Lake,Utah,12596.7037572759,0,12596.7037572759,8051.5186564309,117
Anchorage,Alaska,12517.2397163998,0,12517.2397163998,5833.6157063148,118
Kent,Delaware,21574.8773925441,9427.0799999532,12147.7973925909,11188.8550468849,119
Bucks,Pennsylvania,16924.6109834597,4806.6000000338,12118.0109834259,6737.522995942,120
Cuyahoga,Ohio,12051.6039018732,0,12051.6039018732,8824.0054404225,121
Hennepin,Minnesota,12026.8880353006,0,12026.8880353006,4830.3356213597,122
York,South Carolina,11931.2971529186,0,11931.2971529186,11350.9757537448,123
Livingston,Louisiana,26812.1204056112,14932.6299999567,11879.4904056545,7231.9680780259,124
Horry,South Carolina,42073.9857238571,30255.5400000363,11818.4457238208,14323.9012815816,125
Muscogee,Georgia,11817.0222637828,0,11817.0222637828,6000.9491464556,126
Bossier,Louisiana,11716.0022834166,0,11716.0022834166,4115.1752258637,127
Harrison,Mississippi,33663.9926857312,22083.919999969,11580.0726857622,16353.3580381405,128
Chesterfield,Virginia,11569.5776178331,0,11569.5776178331,11007.9490801423,129
Iredell,North Carolina,11447.1417585352,0,11447.1417585352,6943.3189764537,130
Camden,New Jersey,43891.9356904649,32476.1499998903,11415.7856905746,12361.744843789,131
Forsyth,Georgia,11382.2357813208,0,11382.2357813208,4668.0214128667,132
Arapahoe,Colorado,10995.6691898639,0,10995.6691898639,5373.0544234602,133
Richmond,Georgia,10925.7776173233,0,10925.7776173233,6755.6058558275,134
Fresno,California,10806.0122960482,0,10806.0122960482,7720.5415882663,135
Williamson,Tennessee,10791.5620555612,0,10791.5620555612,6339.8152786954,136
Pinal,Arizona,10658.7232462089,0,10658.7232462089,6060.5077582196,137
Rapides,Louisiana,10603.5769982067,0,10603.5769982067,11070.6751797947,138
Middlesex,New Jersey,45589.4390727116,35553.9699999099,10035.4690728017,18339.9715549754,139
Caddo,Louisiana,10012.6632731405,0,10012.6632731405,4179.6193685553,140
De Soto,Florida,9994.152753601,20.6599999999,9973.4927536011,2017.3279454461,141
Monroe,New York,9922.7009440064,0,9922.7009440064,3901.3719652469,142
Thurston,Washington,14594.4674957774,4752.9100000027,9841.5574957747,3962.0638066162,143
Highlands,Florida,9631.3726542296,0,9631.3726542296,14128.8396485017,144
Cherokee,Georgia,9599.336716051,0,9599.336716051,9662.8328635061,145
Henrico,Virginia,9515.8403273081,0,9515.8403273081,12387.8172312113,146
Pima,Arizona,9410.2914154568,0,9410.2914154568,13338.2908118265,147
Hernando,Florida,21061.3064282907,11661.1300000257,9400.176428265,14003.2048381488,148
Jackson,Missouri,9383.4927294902,0,9383.4927294902,4280.454133812,149
Westchester,New York,27581.5345093017,18346.2699999326,9235.2645093691,11521.1163861008,150
Washington,Oregon,9212.8333453822,0,9212.8333453822,6409.9956725996,151
Essex,Massachusetts,53464.3525329718,44352.5000003942,9111.8525325776,17146.9523547531,152
Jasper,South Carolina,13879.5696330154,4876.020000038,9003.5496329774,4082.9190917904,153
Forsyth,North Carolina,8952.9339011483,0,8952.9339011483,6507.057648457,154
Snohomish,Washington,20008.6456276993,11089.3200000423,8919.325627657,9626.428974534,155
Washoe,Nevada,8783.414791376,0,8783.414791376,8530.3468344327,156
Prince William,Virginia,15385.7737409147,6694.8200000246,8690.9537408902,13369.1036670238,157
Northampton,Pennsylvania,8614.0562019713,0,8614.0562019713,4165.4666640981,158
Oklahoma,Oklahoma,8537.2715136274,0,8537.2715136274,6321.6113035556,159
Washington,Louisiana,8493.2177180752,0,8493.2177180752,3600.0872161195,160
Hampden,Massachusetts,8445.8673347047,0,8445.8673347047,4263.6685739357,161
Knox,Tennessee,8443.4852552634,0,8443.4852552634,9211.9917437412,162
Laramie,Wyoming,8360.8876676768,0,8360.8876676768,2024.1002500967,163
Columbia,Georgia,8357.0542061352,0,8357.0542061352,6405.7961369924,164
St Louis,Missouri,8228.2621723289,0,8228.2621723289,5688.4454989616,165
Lake,Illinois,8214.5577155013,0,8214.5577155013,8169.7225739708,166
Rutherford,Tennessee,8165.4502902454,0,8165.4502902454,5790.2402362423,167
Madison,Alabama,8018.6332782429,0,8018.6332782429,6686.5497773404,168
Marion,Indiana,8016.1783491265,0,8016.1783491265,8199.6297114859,169
Johnston,North Carolina,8006.0944881008,0,8006.0944881008,7415.6703831099,170
Spotsylvania,Virginia,7790.1341679856,0,7790.1341679856,6703.7812134688,171
Clay,Florida,36978.2503124065,29225.1099997214,7753.1403126851,17088.5724334673,172
Orange,New York,8969.461449147,1242.4600000078,7727.0014491392,11069.7637414442,173
Kern,California,7652.9161070148,0,7652.9161070148,6053.4226420233,174
Kings,California,7583.7461230798,0,7583.7461230798,3214.6534416092,175
Berks,Pennsylvania,7556.4407475991,0,7556.4407475991,4811.1831675464,176
Santa Cruz,California,10665.5500767651,3244.9000000128,7420.6500767523,5195.8701357948,177
Saratoga,New York,7327.781104184,0,7327.781104184,5301.0008629938,178
Douglas,Georgia,7294.8384121021,0,7294.8384121021,10178.9768462109,179
York,Pennsylvania,7139.2238196229,0,7139.2238196229,4784.8548097624,180
Jefferson,New York,7100.9705244431,0,7100.9705244431,5974.7374350537,181
Johnson,Kansas,7065.2888053859,0,7065.2888053859,3237.7197184012,182
Jefferson,Alabama,7017.593878509,0,7017.593878509,5421.1756571612,183
Stafford,Virginia,9477.5516129273,2498.2699999963,6979.281612931,7980.02393678,184
Du Page,Illinois,6969.7473263984,0,6969.7473263984,5756.7325174643,185
Will,Illinois,6947.0089461771,0,6947.0089461771,3083.1212546718,186
Frederick,Maryland,6731.2980545714,0,6731.2980545714,3757.3786082147,187
Milwaukee,Wisconsin,6724.6036050459,0,6724.6036050459,4366.9719569823,188
Anne Arundel,Maryland,39740.9303069741,33019.2000000402,6721.7303069339,19966.5149537105,189
Luzerne,Pennsylvania,6623.1630507501,0,6623.1630507501,4846.0065963911,190
Hamilton,Tennessee,6490.0022675204,0,6490.0022675204,4715.8013957303,191
Napa,California,10347.7923157824,3877.4500000283,6470.3423157541,4657.2631678872,192
Lexington,South Carolina,6428.3082905326,0,6428.3082905326,5374.6004912413,193
Hamilton,Ohio,6406.0854768012,0,6406.0854768012,5327.6837247511,194
Beauregard,Louisiana,6363.791142576,0,6363.791142576,2850.4576017363,195
Richmond City,Virginia,6287.0406833936,0,6287.0406833936,8115.0034085158,196
Hays,Texas,6285.8272017208,0,6285.8272017208,2252.8586978146,197
Wayne,Georgia,6240.5698916698,5.92,6234.6498916699,3083.2179825954,198
Kent,Michigan,6172.3895010686,0,6172.3895010686,2361.8259172075,199
Deschutes,Oregon,6127.5265258401,0,6127.5265258401,2308.0350391951,200
Cabarrus,North Carolina,6056.4905514652,0,6056.4905514652,9486.8203761631,201
Houston,Georgia,6031.6480040401,0,6031.6480040401,6206.7847086981,202
Hamilton,Indiana,6000.5434389786,0,6000.5434389786,3620.663282189,203
Okaloosa,Florida,27294.5621273305,21533.8700000164,5760.6921273142,15169.9055883753,204
Dane,Wisconsin,5760.2400606432,0,5760.2400606432,4047.1982251319,205
Boulder,Colorado,5745.4039536513,0,5745.4039536513,5486.6555215221,206
Lancaster,Pennsylvania,5728.5291298778,0,5728.5291298778,5788.9488788539,207
Jefferson,Colorado,5614.8674236593,0,5614.8674236593,3638.0558685202,208
Ouachita,Louisiana,5516.5938859149,0,5516.5938859149,4106.2862504607,209
Sonoma,California,7935.9152468328,2466.0000000053,5469.9152468275,20092.4683069526,210
Onondaga,New York,5409.1144582337,0,5409.1144582337,3906.9481253029,211
Delaware,Pennsylvania,13097.9096094794,7694.9000000452,5403.0096094342,6820.2445660164,212
Albany,New York,6118.9124016893,722.0999999999,5396.8124016895,3245.5288534816,213
Burlington,New Jersey,35756.9991595451,30393.4600000171,5363.539159528,11249.7299264727,214
Brantley,Georgia,5312.8438555315,12.15,5300.6938555315,648.9735158298,215
Dauphin,Pennsylvania,5248.8394308162,0,5248.8394308162,3478.7218902138,216
Paulding,Georgia,5054.1738338273,0,5054.1738338273,8318.9167523537,217
Liberty,Texas,5039.8369773833,0,5039.8369773833,713.0450900804,218
Macomb,Michigan,5018.7517528545,0,5018.7517528545,3550.0492073523,219
Larimer,Colorado,4960.9575523886,0,4960.9575523886,2236.3326260307,220
Pennington,South Dakota,4889.1138348038,0,4889.1138348038,1461.56344552,221
Shelby,Alabama,4829.6293488658,0,4829.6293488658,4227.5187416195,222
Fayette,Kentucky,4829.5578629256,0,4829.5578629256,2524.2904170978,223
Hall,Georgia,4829.4626275022,0,4829.4626275022,4212.5736808058,224
Columbia,Florida,4795.6659237561,0,4795.6659237561,6048.5420773992,225
Washtenaw,Michigan,4788.1288639302,0,4788.1288639302,2333.5866857547,226
Webb,Texas,4623.5430080432,0,4623.5430080432,1272.491423408,227
Benton,Arkansas,4600.8105619761,0,4600.8105619761,1854.8238414456,228
Wayne,North Carolina,4548.6021520129,0,4548.6021520129,5830.2714341269,229
Bulloch,Georgia,4539.3225034753,0,4539.3225034753,2697.9801061423,230
Merced,California,4509.8297080971,0,4509.8297080971,1560.5090652359,231
Natrona,Wyoming,4434.896935494,0,4434.896935494,703.6588039788,232
Lowndes,Georgia,4414.812820124,0,4414.812820124,4657.615019987,233
Houston,Alabama,4343.9041735182,0,4343.9041735182,1711.7517530726,234
Ada,Idaho,4324.5806796455,0,4324.5806796455,2531.5506756076,235
San Patricio,Texas,9161.9633557993,4916.4599999637,4245.5033558356,3992.733363131,236
Yavapai,Arizona,4239.1918711693,0,4239.1918711693,2056.7930119086,237
Nevada,California,4229.3257532864,0,4229.3257532864,3563.3007582809,238
Spartanburg,South Carolina,4167.6334268733,0,4167.6334268733,4747.2920902902,239
Clackamas,Oregon,4097.0589920139,0,4097.0589920139,3041.674357599,240
Kane,Illinois,4093.6425974649,0,4093.6425974649,1518.5160915973,241
Comal,Texas,4073.7095695054,0,4073.7095695054,1900.1249196679,242
Summit,Ohio,3975.4343124023,0,3975.4343124023,2923.9634061019,243
West Baton Rouge,Louisiana,5296.9192254063,1323.9800000083,3972.939225398,1027.2153002803,244
Harrisonburg City,Virginia,3888.4353922791,0,3888.4353922791,3292.6632660366,245
Brazos,Texas,3881.2409457702,0,3881.2409457702,1396.5748430981,246
Charles,Maryland,7492.6530865072,3637.5999999882,3855.053086519,4569.6354780534,247
Douglas,Nebraska,3846.0784962886,0,3846.0784962886,2611.2542179211,248
Spokane,Washington,3830.1235953271,0,3830.1235953271,3100.1836480172,249
Hinds,Mississippi,3829.8058442602,0,3829.8058442602,1246.2867135337,250
Pulaski,Arkansas,3821.1991124278,0,3821.1991124278,3983.0591925798,251
Coweta,Georgia,3762.2543660661,0,3762.2543660661,4633.6904760258,252
Hall,Nebraska,3752.7716211407,0,3752.7716211407,597.1260332319,253
Bibb,Georgia,3746.6899982867,0,3746.6899982867,2102.0505503548,254
St Louis City,Missouri,3733.5819127941,0,3733.5819127941,2273.2586811836,255
Merrimack,New Hampshire,3719.4772552115,0,3719.4772552115,2385.6629660672,256
Anderson,South Carolina,3701.2148800782,0,3701.2148800782,4904.0346424638,257
